Číslo politického subjektu,Názov politického subjektu,Skratka politického subjektu,Počet kandidátov,Poznámka
1,Pirátska strana - Slovensko,Piráti,60,
2,PRINCÍP,PRINCÍP,70,
3,Progresívne Slovensko,PS,150,
4,SPOLOČNE OBČANIA SLOVENSKA,SOS,148,
5,OĽANO A PRIATELIA,"OĽANO A PRIATELIA, KÚ a ZA ĽUDÍ",150,
6,Komunistická strana Slovenska,KSS,81,
7,Maďarské fórum,"MF, ODS, ZR, RK, DS",125,
8,Vlastenecký blok,VB,41,
9,"Modrí, Most - Híd",MM,149,
10,SPRAVODLIVOSŤ,SPRAVODLIVOSŤ,27,
11,Slovenské Hnutie Obrody,SHO,45,
12,Sloboda a Solidarita,SaS,150,
13,SME RODINA,SME RODINA,150,
14,MySlovensko,MySlovensko,49,
15,Slovenská národná strana,SNS,150,
16,SMER - sociálna demokracia,SMER - SD,150,
17,HLAS - sociálna demokracia,HLAS - SD,150,
18,SZÖVETSÉG - Magyarok,SZÖVETSÉG - ALIANCIA,149,
19,SRDCE vlastenci a dôchodcovia,SRDCE - SNJ,100,
20,SDKU - DS,SDKÚ - DS,11,
21,Kotlebovci - Ľudová strana Naše Slovensko,ĽSNS,150,
22,Demokrati,Demokrati,150,
23,Kresťanskodemokratické hnutie,KDH,150,
24,KARMA,KARMA,17,
25,REPUBLIKA,REPUBLIKA,150,
