Názov súboru,Názov tabuľky
tab_info,Zoznam tabuliek
tab0a,Zoznam kandidujúcich politických subjektov
tab0b,Zoznam kandidátov
tab0c,Územné členenie
tab0d,Veková štruktúra kandidátov
tab01,Súhrnné výsledky hlasovania za SR
tab02a,Súhrnné výsledky hlasovania za kraje
tab02b,Súhrnné výsledky hlasovania za územné obvody
tab02c,Súhrnné výsledky hlasovania za okresy
tab02d,Súhrnné výsledky hlasovania za obce
tab02e,Súhrnné výsledky hlasovania za okrsky
tab02x,"Súhrnné výsledky hlasovania za mestá, mestské časti a obce"
tab03a,Počet a podiel platných hlasov odovzdaných pre politické subjekty za SR
tab03b,Počet a podiel platných hlasov odovzdaných pre politické subjekty za kraje
tab03c,Počet a podiel platných hlasov odovzdaných pre politické subjekty za územné obvody
tab03d,Počet a podiel platných hlasov odovzdaných pre politické subjekty za okresy
tab03e,Počet a podiel platných hlasov odovzdaných pre politické subjekty za obce
tab03f,Počet a podiel platných hlasov odovzdaných pre politické subjekty za okrsky
tab04,Pridelenie mandátov politickým subjektom
tab04x,Súhrnné údaje k prideľovaniu mandátov politickým subjektom
tab06,Zvolení poslanci Národnej rady Slovenskej republiky
tab07a,Počet prednostných hlasov pre jednotlivých kandidátov politických subjektov za SR
tab07b,Počet prednostných hlasov pre jednotlivých kandidátov politických subjektov za kraje
tab07c,Počet prednostných hlasov pre jednotlivých kandidátov politických subjektov za územné obvody
tab07d,Počet prednostných hlasov pre jednotlivých kandidátov politických subjektov za okresy
tab07e,Počet prednostných hlasov pre jednotlivých kandidátov politických subjektov za obce
tab07f,Počet prednostných hlasov pre jednotlivých kandidátov politických subjektov za okrsky
tab08a,Počet a podiel platných hlasov odovzdaných pre politické subjekty za kraje - horizontálny pohľad
tab08b,Počet a podiel platných hlasov odovzdaných pre politické subjekty za územné obvody - horizontálny pohľad
tab08c,Počet a podiel platných hlasov odovzdaných pre politické subjekty za okresy - horizontálny pohľad
tab08d,Počet a podiel platných hlasov odovzdaných pre politické subjekty za obce - horizontálny pohľad
tab08e,Počet a podiel platných hlasov odovzdaných pre politické subjekty za okrsky - horizontálny pohľad
tab08x,"Počet a podiel platných hlasov odovzdaných pre politické subjekty za mestá, mestské časti a obce - horizontálny pohľad"
